QueryID,Rank,Precision,Recall
151801,72,0.680556,1.000000
151801,73,0.671233,1.000000
151801,74,0.662162,1.000000
151801,75,0.653333,1.000000
151801,76,0.644737,1.000000
151801,77,0.636364,1.000000
151801,78,0.628205,1.000000
151801,79,0.620253,1.000000
151801,80,0.612500,1.000000
151801,81,0.604938,1.000000
151801,82,0.597561,1.000000
151801,83,0.590361,1.000000
151801,84,0.583333,1.000000
151801,85,0.576471,1.000000
151801,86,0.569767,1.000000
151801,87,0.563218,1.000000
151801,88,0.556818,1.000000
151801,89,0.550562,1.000000
151801,90,0.544444,1.000000
151801,91,0.538462,1.000000
151801,92,0.532609,1.000000
151801,93,0.526882,1.000000
151801,94,0.521277,1.000000
151801,95,0.515789,1.000000
151801,96,0.510417,1.000000
151801,97,0.505155,1.000000
151801,98,0.500000,1.000000
151801,99,0.494949,1.000000
151801,100,0.490000,1.000000
151802,1,1.000000,0.020000
151802,2,1.000000,0.040000
151802,3,1.000000,0.060000
151802,4,1.000000,0.080000
151802,5,1.000000,0.100000
151802,6,1.000000,0.120000
151802,7,1.000000,0.140000
151802,8,1.000000,0.160000
151802,9,1.000000,0.180000
151802,10,1.000000,0.200000
151802,11,1.000000,0.220000
151802,12,1.000000,0.240000
151802,13,1.000000,0.260000
151802,14,1.000000,0.280000
151802,15,1.000000,0.300000
151802,16,1.000000,0.320000
151802,17,1.000000,0.340000
151802,18,1.000000,0.360000
151802,19,1.000000,0.380000
151802,20,1.000000,0.400000
151802,21,1.000000,0.420000
151802,22,1.000000,0.440000
151802,23,1.000000,0.460000
151802,24,1.000000,0.480000
151802,25,1.000000,0.500000
151802,26,1.000000,0.520000
151802,27,1.000000,0.540000
151802,28,1.000000,0.560000
151802,29,1.000000,0.580000
151802,30,1.000000,0.600000
151802,31,1.000000,0.620000
151802,32,1.000000,0.640000
151802,33,1.000000,0.660000
151802,34,1.000000,0.680000
151802,35,1.000000,0.700000
151802,36,1.000000,0.720000
151802,37,1.000000,0.740000
151802,38,1.000000,0.760000
151802,39,1.000000,0.780000
151802,40,1.000000,0.800000
151802,41,1.000000,0.820000
151802,42,1.000000,0.840000
151802,43,1.000000,0.860000
151802,44,1.000000,0.880000
151802,45,1.000000,0.900000
151802,46,1.000000,0.920000
151802,47,1.000000,0.940000
151802,48,1.000000,0.960000
151802,49,1.000000,0.980000
151802,50,1.000000,1.000000
151802,51,0.980392,1.000000
151802,52,0.961538,1.000000
151802,53,0.943396,1.000000
151802,54,0.925926,1.000000
151802,55,0.909091,1.000000
151802,56,0.892857,1.000000
151802,57,0.877193,1.000000
151802,58,0.862069,1.000000
151802,59,0.847458,1.000000
151802,60,0.833333,1.000000
151802,61,0.819672,1.000000
151802,62,0.806452,1.000000
151802,63,0.793651,1.000000
151802,64,0.781250,1.000000
151802,65,0.769231,1.000000
151802,66,0.757576,1.000000
151802,67,0.746269,1.000000
151802,68,0.735294,1.000000
151802,69,0.724638,1.000000
151802,70,0.714286,1.000000
151802,71,0.704225,1.000000
151802,72,0.694444,1.000000
151802,73,0.684932,1.000000
151802,74,0.675676,1.000000
151802,75,0.666667,1.000000
151802,76,0.657895,1.000000
151802,77,0.649351,1.000000
151802,78,0.641026,1.000000
151802,79,0.632911,1.000000
151802,80,0.625000,1.000000
151802,81,0.617284,1.000000
151802,82,0.609756,1.000000
151802,83,0.602410,1.000000
151802,84,0.595238,1.000000
151802,85,0.588235,1.000000
151802,86,0.581395,1.000000
151802,87,0.574713,1.000000
151802,88,0.568182,1.000000
151802,89,0.561798,1.000000
151802,90,0.555556,1.000000
151802,91,0.549451,1.000000
151802,92,0.543478,1.000000
151802,93,0.537634,1.000000
151802,94,0.531915,1.000000
151802,95,0.526316,1.000000
151802,96,0.520833,1.000000
151802,97,0.515464,1.000000
151802,98,0.510204,1.000000
151802,99,0.505051,1.000000
151802,100,0.500000,1.000000
151803,1,0.000000,0.000000
151803,2,0.500000,0.034483
151803,3,0.666667,0.068966
151803,4,0.750000,0.103448
151803,5,0.800000,0.137931
151803,6,0.833333,0.172414
151803,7,0.857143,0.206897
151803,8,0.875000,0.241379
151803,9,0.888889,0.275862
151803,10,0.900000,0.310345
151803,11,0.909091,0.344828
151803,12,0.916667,0.379310
151803,13,0.923077,0.413793
151803,14,0.928571,0.448276
151803,15,0.933333,0.482759
151803,16,0.937500,0.517241
151803,17,0.941176,0.551724
151803,18,0.944444,0.586207
151803,19,0.947368,0.620690
151803,20,0.950000,0.655172
151803,21,0.952381,0.689655
151803,22,0.954545,0.724138
151803,23,0.956522,0.758621
151803,24,0.958333,0.793103
151803,25,0.960000,0.827586
151803,26,0.961538,0.862069
151803,27,0.962963,0.896552
151803,28,0.964286,0.931034
151803,29,0.965517,0.965517
151803,30,0.966667,1.000000
151803,31,0.935484,1.000000
151803,32,0.906250,1.000000
151803,33,0.878788,1.000000
151803,34,0.852941,1.000000
151803,35,0.828571,1.000000
151803,36,0.805556,1.000000
151803,37,0.783784,1.000000
151803,38,0.763158,1.000000
151803,39,0.743590,1.000000
151803,40,0.725000,1.000000
151803,41,0.707317,1.000000
151803,42,0.690476,1.000000
151803,43,0.674419,1.000000
151803,44,0.659091,1.000000
151803,45,0.644444,1.000000
151803,46,0.630435,1.000000
151803,47,0.617021,1.000000
151803,48,0.604167,1.000000
151803,49,0.591837,1.000000
151803,50,0.580000,1.000000
151803,51,0.568627,1.000000
151803,52,0.557692,1.000000
151803,53,0.547170,1.000000
151803,54,0.537037,1.000000
151803,55,0.527273,1.000000
151803,56,0.517857,1.000000
151803,57,0.508772,1.000000
151803,58,0.500000,1.000000
151803,59,0.491525,1.000000
151803,60,0.483333,1.000000
151803,61,0.475410,1.000000
151803,62,0.467742,1.000000
151803,63,0.460317,1.000000
151803,64,0.453125,1.000000
151803,65,0.446154,1.000000
151803,66,0.439394,1.000000
151803,67,0.432836,1.000000
151803,68,0.426471,1.000000
151803,69,0.420290,1.000000
151803,70,0.414286,1.000000
151803,71,0.408451,1.000000
151803,72,0.402778,1.000000
151803,73,0.397260,1.000000
151803,74,0.391892,1.000000
151803,75,0.386667,1.000000
151803,76,0.381579,1.000000
151803,77,0.376623,1.000000
151803,78,0.371795,1.000000
151803,79,0.367089,1.000000
151803,80,0.362500,1.000000
151803,81,0.358025,1.000000
151803,82,0.353659,1.000000
151803,83,0.349398,1.000000
151803,84,0.345238,1.000000
151803,85,0.341176,1.000000
151803,86,0.337209,1.000000
151803,87,0.333333,1.000000
151803,88,0.329545,1.000000
151803,89,0.325843,1.000000
151803,90,0.322222,1.000000
151803,91,0.318681,1.000000
151803,92,0.315217,1.000000
151803,93,0.311828,1.000000
151803,94,0.308511,1.000000
151803,95,0.305263,1.000000
151803,96,0.302083,1.000000
151803,97,0.298969,1.000000
151803,98,0.295918,1.000000
151803,99,0.292929,1.000000
151803,100,0.290000,1.000000
