qid_doc,qid,docno,OkapiTF,TFIDF,BM25,Laplace,JelinekMercer,ES_Builtin,label
4-343,4,343,2.777232,2.362993,0.0,0.0,-131.355369,0.0,0
4-657,4,657,2.773906,0.0,0.0,0.0,0.0,0.0,0
4-99,4,99,2.770398,2.898731,8.832337,-152.579867,-125.706081,9.213903,0
4-1302,4,1302,2.768738,2.793251,8.488953,-154.030169,-125.374481,8.727611,0
4-185,4,185,2.76697,2.325408,6.654292,-153.033123,-132.511389,6.874948,0
4-981,4,981,2.765362,3.273739,8.479665,0.0,0.0,8.475448,0
4-328,4,328,2.764194,2.610627,7.679994,-153.340958,-126.018492,7.750212,0
4-1073,4,1073,2.760022,3.60289,9.069874,0.0,0.0,9.081877,0
4-620,4,620,2.747837,0.0,0.0,-153.898264,-132.417562,0.0,0
4-558,4,558,2.739855,0.0,0.0,0.0,0.0,0.0,0
4-90,4,90,2.730805,4.256555,10.719601,0.0,0.0,10.745563,0
4-1217,4,1217,2.728692,3.283266,9.061974,0.0,-131.490513,9.07519,0
4-374,4,374,2.726509,0.0,0.0,0.0,0.0,0.0,0
4-893,4,893,2.7103,2.98713,8.59704,0.0,-131.51912,8.649217,0
4-1004,4,1004,2.709874,0.0,0.0,0.0,-131.876746,0.0,0
4-120,4,120,2.708971,0.0,0.0,0.0,0.0,0.0,0
4-66,4,66,2.707781,0.0,0.0,0.0,-132.130511,0.0,0
4-649,4,649,2.691571,0.0,0.0,-153.606231,-132.583395,0.0,0
4-21,4,21,2.688859,0.0,0.0,0.0,0.0,0.0,0
4-689,4,689,2.678313,0.0,0.0,-153.563419,-132.818569,0.0,0
4-1121,4,1121,2.674782,0.0,0.0,0.0,0.0,0.0,0
4-1207,4,1207,2.674655,2.553811,6.827027,-154.221123,0.0,7.008462,0
4-1161,4,1161,2.665431,0.0,0.0,0.0,0.0,0.0,0
4-225,4,225,2.661685,0.0,0.0,-152.488597,0.0,0.0,0
4-1198,4,1198,2.658874,0.0,6.739026,-153.900154,-126.507789,6.718453,0
4-451,4,451,2.647636,0.0,0.0,0.0,0.0,0.0,0
4-544,4,544,2.638597,0.0,0.0,0.0,0.0,0.0,0
4-1308,4,1308,2.638597,0.0,0.0,0.0,0.0,0.0,0
4-1394,4,1394,2.636414,0.0,0.0,0.0,0.0,0.0,0
4-325,4,325,2.635846,0.0,0.0,-153.727306,-132.796315,0.0,0
4-159,4,159,2.632131,3.540707,9.799171,0.0,-131.872984,9.921665,0
4-982,4,982,2.624745,2.661929,7.585312,0.0,-132.614561,7.712474,0
4-560,4,560,2.6231,0.0,0.0,-153.781479,-132.890917,0.0,0
4-486,4,486,2.622561,3.028454,8.704668,0.0,-132.891349,8.910608,0
4-395,4,395,2.622523,0.0,0.0,-153.580231,0.0,0.0,0
4-262,4,262,2.622303,2.37912,7.326722,-151.935726,-127.258009,7.489213,0
4-997,4,997,2.61069,0.0,0.0,0.0,-132.513231,0.0,0
8-166,8,166,10.16707,13.440968,37.015813,-319.617509,-223.559643,37.87103,0
8-1252,8,1252,8.866395,6.37102,17.034207,-321.369454,-249.672033,17.328562,0
8-1375,8,1375,8.651585,4.802507,13.985036,-319.365791,-244.927349,14.174966,0
8-1255,8,1255,8.58834,6.045846,17.868031,0.0,-237.059287,18.552925,0
8-493,8,493,8.465149,5.324124,14.834445,-321.758438,-252.659214,14.875528,0
8-1224,8,1224,8.462911,4.591654,13.643101,-322.276309,-245.427755,13.768115,0
8-456,8,456,8.454232,5.029251,13.343012,-323.611118,-259.564205,13.374937,0
8-266,8,266,8.434327,3.958391,11.174006,-321.953691,-252.853913,11.38412,0
8-1189,8,1189,8.41378,7.890809,22.208077,0.0,-249.523853,22.42436,0
8-236,8,236,8.399099,6.511225,17.133363,0.0,-265.381512,17.292677,0
8-167,8,167,8.39894,5.962256,16.159807,0.0,-257.186688,16.290083,0
8-1085,8,1085,8.377896,6.637973,17.656876,0.0,-254.763575,17.631693,0
8-574,8,574,8.337561,5.613386,16.128528,0.0,-252.123925,16.45878,0
8-375,8,375,8.300977,3.764597,0.0,-322.221048,-265.838875,0.0,0
8-401,8,401,8.291751,5.92488,16.764787,-320.78336,-253.513639,17.081625,0
8-435,8,435,8.279356,5.619272,15.817411,0.0,-252.763284,15.98396,0
8-917,8,917,8.276373,3.826109,11.425647,-320.092812,-247.479204,12.052834,0
8-576,8,576,8.257504,5.273719,15.3973,-318.343096,-248.275007,15.269806,0
8-349,8,349,8.213088,3.908709,10.662142,0.0,-260.090059,10.78822,0
8-185,8,185,8.205352,8.355775,23.061304,-322.663094,-248.02373,23.710901,0
8-294,8,294,8.200772,4.21972,11.96813,-322.748997,-253.816786,11.96961,0
8-1356,8,1356,8.195062,3.57195,10.350609,-321.507687,-253.894944,10.733503,0
8-332,8,332,8.158689,5.390576,14.87582,0.0,-252.559635,14.8405,0
8-820,8,820,8.119367,4.163207,12.099762,-323.068936,-253.661838,12.364384,0
8-317,8,317,8.107185,5.750436,15.355471,-323.946138,-266.272764,15.443493,0
8-536,8,536,8.089372,5.132188,15.073772,-322.136193,-247.907186,15.670651,0
8-1198,8,1198,8.087401,4.336769,12.126951,-322.344004,-260.017468,12.083895,0
8-14,8,14,8.064271,4.041251,11.699766,-320.559204,-255.277053,11.696069,0
8-23,8,23,8.009969,0.0,0.0,0.0,0.0,0.0,0
8-97,8,97,7.997696,0.0,0.0,-324.011348,-267.296005,0.0,0
8-24,8,24,7.996043,4.817177,13.666439,-323.200398,-254.371669,13.863987,0
8-561,8,561,7.995172,0.0,0.0,-323.656932,-266.978157,0.0,0
8-1242,8,1242,7.992934,4.437306,12.746482,-323.306457,-266.879374,12.751097,0
8-1190,8,1190,7.983353,4.064562,11.026201,0.0,-258.783769,11.071294,0
8-410,8,410,7.939074,5.334888,13.680429,0.0,0.0,13.883152,0
8-540,8,540,7.937439,4.169262,11.306462,0.0,-266.863088,11.49759,0
8-165,8,165,7.935425,4.219713,12.333511,-320.259382,-255.480544,12.403425,0
8-309,8,309,7.923813,0.0,0.0,0.0,-267.284193,0.0,0
8-1061,8,1061,7.912977,6.847416,20.419591,-322.042949,-248.40303,21.328804,0
8-1254,8,1254,7.908609,3.740155,10.757754,0.0,-258.681464,10.917007,0
8-575,8,575,7.89655,5.785907,16.037197,-323.806945,-261.54269,16.15032,0
8-665,8,665,7.86729,0.0,0.0,0.0,0.0,0.0,0
8-58,8,58,7.863763,3.773198,11.11952,0.0,-254.272841,11.476305,1
8-191,8,191,7.861523,0.0,0.0,0.0,-261.099236,0.0,0
